id,revised_class,true_class,true_label,predicted_class
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_97.5-98.499512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_98.0-98.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_98.5-99.499512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_101.5-102.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_145.0-145.999512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_145.5-146.499512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_146.0-146.999512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_5.0-5.999512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_6.5-7.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_23.5-24.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_24.5-25.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_55.0-55.999512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_56.5-57.499512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_59.0-59.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_59.5-60.499512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_60.0-60.999512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_60.5-61.499512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_61.0-61.999512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_71.5-72.499512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_72.0-72.999512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_72.5-73.499512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_73.0-73.999512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_79.5-80.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_80.5-81.499512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_81.5-82.499512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_82.0-82.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_82.5-83.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_86.5-87.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_87.0-87.999512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_87.5-88.499512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_114.0-114.999512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_114.5-115.499512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_115.0-115.999512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_121.0-121.999512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_122.0-122.999512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_142.0-142.999512,0,0,artifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_143.0-143.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_143.5-144.499512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_151.5-152.499512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_152.0-152.999512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_172.5-173.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_nonartifact_173.0-173.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.EORASD1_raw_artifact_174.0-174.999512,0,0,artifact,0
BAMBI.S502.yyyymmdd.ECRASD1_raw_artifact_1.0-1.999512,0,0,artifact,0
BAMBI.S502.yyyymmdd.ECRASD1_raw_nonartifact_1.5-2.499512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.ECRASD1_raw_nonartifact_2.0-2.999512,1,1,nonartifact,1
BAMBI.S502.yyyymmdd.ECRASD1_raw_nonartifact_15.0-15.999512,1,1,nonartifact,1
BAMBI.S502.yyyymmdd.ECRASD1_raw_nonartifact_15.5-16.499512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.ECRASD1_raw_nonartifact_16.0-16.999512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.ECRASD1_raw_nonartifact_18.0-18.999512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.ECRASD1_raw_nonartifact_18.5-19.499512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.ECRASD1_raw_nonartifact_19.0-19.999512,1,1,nonartifact,1
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_128.5-129.499512,1,1,nonartifact,1
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_130.0-130.999512,1,1,nonartifact,1
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_145.5-146.499512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_146.0-146.999512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_151.0-151.999512,1,1,nonartifact,1
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_151.5-152.499512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_152.0-152.999512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_152.5-153.499512,1,1,nonartifact,1
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_161.5-162.499512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_162.0-162.999512,0,1,nonartifact,0
BAMBI.S502.yyyymmdd.EORASD1_raw_nonartifact_162.5-163.499512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_artifact_7.0-7.999512,0,0,artifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_7.5-8.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_8.0-8.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_artifact_18.0-18.999512,0,0,artifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_19.0-19.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_20.0-20.999512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_65.0-65.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_65.5-66.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_66.0-66.999512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_artifact_76.0-76.999512,0,0,artifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_77.0-77.999512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_77.5-78.499512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_artifact_78.0-78.999512,0,0,artifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_artifact_82.0-82.999512,0,0,artifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_82.5-83.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_83.0-83.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_83.5-84.499512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_88.5-89.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_89.0-89.999512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_96.0-96.999512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_96.5-97.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_97.0-97.999512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_97.5-98.499512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_102.0-102.999512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_103.0-103.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_103.5-104.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_104.0-104.999512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_110.5-111.499512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_111.0-111.999512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_111.5-112.499512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_112.0-112.999512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_115.0-115.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_115.5-116.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_116.0-116.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_116.5-117.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_117.0-117.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_artifact_127.5-128.499512,0,0,artifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_128.5-129.499512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_133.0-133.999512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_133.5-134.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.ECRASD1_raw_nonartifact_134.0-134.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_75.5-76.499512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_76.0-76.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_76.5-77.499512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_77.0-77.999512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_124.5-125.499512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_125.0-125.999512,1,1,nonartifact,1
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_158.5-159.499512,0,1,nonartifact,0
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_159.0-159.999512,1,1,nonartifact,0
BAMBI.S503.yyyymmdd.EORASD1_raw_nonartifact_159.5-160.499512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.ECRASD1_raw_artifact_22.0-22.999512,0,0,artifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_23.0-23.999512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.ECRASD1_raw_artifact_66.5-67.499512,0,0,artifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_67.5-68.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_68.0-68.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_68.5-69.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_69.0-69.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_69.5-70.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_70.0-70.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_70.5-71.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_71.0-71.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_71.5-72.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_72.0-72.999512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_79.0-79.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_79.5-80.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_80.0-80.999512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_80.5-81.499512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_artifact_81.5-82.499512,0,0,artifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_105.0-105.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_105.5-106.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_106.0-106.999512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_119.0-119.999512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_120.0-120.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_120.5-121.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_artifact_121.0-121.999512,0,0,artifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_artifact_123.5-124.499512,0,0,artifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_124.5-125.499512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_125.0-125.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_125.5-126.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_126.0-126.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_artifact_126.5-127.499512,0,0,artifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_145.0-145.999512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_145.5-146.499512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_146.5-147.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_147.0-147.999512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_147.5-148.499512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_177.5-178.499512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_178.0-178.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.ECRASD1_raw_nonartifact_178.5-179.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_14.0-14.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_14.5-15.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_15.0-15.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_15.5-16.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_16.0-16.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_16.5-17.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_17.0-17.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_17.5-18.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_18.0-18.999512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_25.0-25.999512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_25.5-26.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_26.0-26.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_26.5-27.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_27.0-27.999512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_42.5-43.499512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_43.5-44.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_44.0-44.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_45.0-45.999512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_54.0-54.999512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_54.5-55.499512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_artifact_55.0-55.999512,0,0,artifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_artifact_78.5-79.499512,0,0,artifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_79.5-80.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_80.0-80.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_80.5-81.499512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_98.0-98.999512,1,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_99.0-99.999512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_115.5-116.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_116.0-116.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_116.5-117.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_117.0-117.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_117.5-118.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_artifact_118.0-118.999512,0,0,artifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_artifact_122.0-122.999512,0,0,artifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_122.5-123.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_123.0-123.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_123.5-124.499512,1,1,nonartifact,1
BAMBI.S504.yyyymmdd.EORASD1_raw_artifact_160.5-161.499512,0,0,artifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_161.0-161.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_161.5-162.499512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_nonartifact_162.0-162.999512,0,1,nonartifact,0
BAMBI.S504.yyyymmdd.EORASD1_raw_artifact_162.5-163.499512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_artifact_9.5-10.499512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_10.0-10.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_10.5-11.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_artifact_21.0-21.999512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_21.5-22.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_artifact_22.0-22.999512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_artifact_26.5-27.499512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_27.0-27.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_27.5-28.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_35.0-35.999512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_35.5-36.499512,1,1,nonartifact,1
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_63.5-64.499512,1,1,nonartifact,1
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_64.0-64.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_64.5-65.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_108.5-109.499512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_109.0-109.999512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_110.0-110.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_artifact_112.5-113.499512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_artifact_118.5-119.499512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_120.0-120.999512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_120.5-121.499512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_122.0-122.999512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_122.5-123.499512,1,1,nonartifact,1
BAMBI.S505.yyyymmdd.ECRASD1_raw_artifact_127.5-128.499512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_128.0-128.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_128.5-129.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_129.0-129.999512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_129.5-130.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_130.0-130.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_143.0-143.999512,1,1,nonartifact,1
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_144.0-144.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_144.5-145.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_145.0-145.999512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_145.5-146.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_146.5-147.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_147.0-147.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_artifact_159.5-160.499512,0,0,artifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_161.0-161.999512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_161.5-162.499512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_162.0-162.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_163.5-164.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_164.5-165.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_165.0-165.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_166.0-166.999512,1,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_166.5-167.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_167.0-167.999512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_167.5-168.499512,0,1,nonartifact,0
BAMBI.S505.yyyymmdd.ECRASD1_raw_nonartifact_168.0-168.999512,0,1,nonartifact,0
